timestamp,soil_texture,scenario,r,rOld,kp,ki,irrigation_strategy,irrigation_frequency,delta,deltaOld,et0,opt_avg,obs_avg,daily_pluv
1625986800,silty,2021,0.26006297399719985,0,10,3,SMARTER,2,3.3808186619635983,0,7.909412676835701,4.71830645976308,4.97836943376028,0.0
1626073200,silty,2021,0.3906002132175609,0.26006297399719985,10,3,SMARTER,2,0,3.3808186619635983,8.171899400888595,4.71830645976308,5.108906672980641,0.0
1626159600,silty,2021,0.5512689208126071,0.26006297399719985,10,3,SMARTER,2,7.946684892555493,3.3808186619635983,7.307248568315713,4.71830645976308,5.269575380575687,49.2
1626246000,silty,2021,-0.4977427537540707,0.5512689208126071,10,3,SMARTER,2,0,7.946684892555493,3.7200181370317593,4.71830645976308,4.272201602394996,0.0
1626332400,silty,2021,-0.3767251735953641,0.5512689208126071,10,3,SMARTER,2,0,7.946684892555493,6.588938290136868,4.71830645976308,4.341581286167716,0.0
1626418800,silty,2021,-0.24775060433784835,-0.3767251735953641,10,3,SMARTER,2,0,0,4.2070949143533625,4.71830645976308,4.470555855425232,10.8
1626505200,silty,2021,-0.38060358348779,-0.3767251735953641,10,3,SMARTER,2,0,0,1.7206288405645938,4.71830645976308,4.33770287627529,0.8
1626591600,silty,2021,-0.34609349986375393,-0.38060358348779,10,3,SMARTER,2,0,0,2.3398193330169916,4.71830645976308,4.3722129598993265,0.0
1626678000,silty,2021,-0.13878988910262582,-0.38060358348779,10,3,SMARTER,2,2.0017672765437644,0,5.542148180411579,4.71830645976308,4.579516570660455,0.0
1626764400,silty,2021,0.057723191489929875,-0.13878988910262582,10,3,SMARTER,2,0,2.0017672765437644,6.336708517861463,4.71830645976308,4.77602965125301,0.0
1626850800,silty,2021,0.30903082482464006,-0.13878988910262582,10,3,SMARTER,2,7.407066890290343,2.0017672765437644,7.723088615724408,4.71830645976308,5.027337284587721,0.0
1626937200,silty,2021,0.300717204010741,0.30903082482464006,10,3,SMARTER,2,0,7.407066890290343,6.384988487195638,4.71830645976308,5.0190236637738215,0.0
1627023600,silty,2021,0.4666044843774397,0.30903082482464006,10,3,SMARTER,2,10.382616938950658,7.407066890290343,6.724001721462045,4.71830645976308,5.18491094414052,0.0
1627110000,silty,2021,0.362516089246413,0.4666044843774397,10,3,SMARTER,2,0,10.382616938950658,6.639604206034317,4.71830645976308,5.08647119941886,0.0
1627196400,silty,2021,0.4726353513773657,0.4666044843774397,10,3,SMARTER,2,11.860831663082015,10.382616938950658,6.068344799075018,4.71830645976308,5.190941811140446,0.0
1627282800,silty,2021,0.27148410149664326,0.4726353513773657,10,3,SMARTER,2,0,11.860831663082015,3.7441148307248353,4.71830645976308,5.010969227035396,0.0
