Unnamed: 0,timestamp,soil_texture,scenario,r,rOld,kp,ki,irrigation_strategy,irrigation_frequency,delta,deltaOld,et0,opt_avg,obs_avg,daily_pluv,last_r,last_irrigation,datetime
120.0,1625986800.0,silty,2021,0.2600629739971998,0.0,10.0,3.0,ET0,2,7.91,0.0,7.909412676835701,4.71830645976308,4.97836943376028,0.0,,,2021-07-11 07:00:00
121.0,1626073200.0,silty,2021,0.2856971939961295,0.2600629739971998,10.0,3.0,ET0,2,0.0,7.91,8.171899400888595,4.71830645976308,5.004003653759209,0.0,,,2021-07-12 07:00:00
122.0,1626159600.0,silty,2021,0.4417319511227248,0.2600629739971998,10.0,3.0,ET0,2,15.48,7.91,7.307248568315713,4.71830645976308,5.160038410885805,49.2,,,2021-07-13 07:00:00
123.0,1626246000.0,silty,2021,-0.8026669487743242,0.4417319511227248,10.0,3.0,ET0,2,0.0,15.48,3.7200181370317593,4.71830645976308,4.070922966772382,0.0,,,2021-07-14 07:00:00
124.0,1626332400.0,silty,2021,-0.6825461436421562,0.4417319511227248,10.0,3.0,ET0,2,10.31,15.48,6.588938290136868,4.71830645976308,4.035760316120924,0.0,,,2021-07-15 07:00:00
125.0,1626418800.0,silty,2021,-0.7822692422360115,-0.6825461436421562,10.0,3.0,ET0,2,0.0,10.31,4.2070949143533625,4.71830645976308,3.991793977135217,10.8,,,2021-07-16 07:00:00
126.0,1626505200.0,silty,2021,-0.9476895857920266,-0.6825461436421562,10.0,3.0,ET0,2,5.93,10.31,1.7206288405645938,4.71830645976308,3.777182984958357,0.8,,,2021-07-17 07:00:00
127.0,1626591600.0,silty,2021,-1.0039821050305524,-0.9476895857920266,10.0,3.0,ET0,2,0.0,5.93,2.339819333016992,4.71830645976308,3.7297913211057874,0.0,,,2021-07-18 07:00:00
128.0,1626678000.0,silty,2021,-0.7624620419846344,-0.9476895857920266,10.0,3.0,ET0,2,7.88,5.93,5.542148180411579,4.71830645976308,3.955844417778446,0.0,,,2021-07-19 07:00:00
129.0,1626764400.0,silty,2021,-0.6715531828823393,-0.7624620419846344,10.0,3.0,ET0,2,0.0,7.88,6.336708517861463,4.71830645976308,4.051456723606321,0.0,,,2021-07-20 07:00:00
130.0,1626850800.0,silty,2021,-0.3651105564837511,-0.7624620419846344,10.0,3.0,ET0,2,14.06,7.88,7.723088615724408,4.71830645976308,4.353195903279329,0.0,,,2021-07-21 07:00:00
131.0,1626937200.0,silty,2021,-0.413539446191324,-0.3651105564837511,10.0,3.0,ET0,2,0.0,14.06,6.384988487195638,4.71830645976308,4.341363724676863,0.0,,,2021-07-22 07:00:00
132.0,1627023600.0,silty,2021,-0.2286037175924666,-0.3651105564837511,10.0,3.0,ET0,2,13.11,14.06,6.724001721462045,4.71830645976308,4.489702742170613,0.0,,,2021-07-23 07:00:00
133.0,1627110000.0,silty,2021,-0.2928982306071302,-0.2286037175924666,10.0,3.0,ET0,2,0.0,13.11,6.639604206034317,4.71830645976308,4.462761009103392,0.0,,,2021-07-24 07:00:00
134.0,1627196400.0,silty,2021,-0.1431169869221456,-0.2286037175924666,10.0,3.0,ET0,2,12.71,13.11,6.068344799075018,4.71830645976308,4.575189472840934,0.0,,,2021-07-25 07:00:00
135.0,1627282800.0,silty,2021,-0.2992148711760182,-0.1431169869221456,10.0,3.0,ET0,2,0.0,12.71,3.7441148307248353,4.71830645976308,4.4585914325077685,0.0,,,2021-07-26 07:00:00
